City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
86,raga,8.46,25.68,72.48,30,7,3.33,SS,1609366088
87,beyla,8.68,-8.63,70.88,22,4,1.66,GN,1609366088
88,kavaratti,10.57,72.64,81.68,77,0,8.25,IN,1609366089
89,bambous virieux,-20.34,57.76,77.0,88,75,17.22,MU,1609366089
90,bubaque,11.28,-15.83,79.95,78,0,15.68,GW,1609366089
91,norman wells,65.28,-126.83,-4.0,76,75,11.41,CA,1609366089
92,coquimbo,-29.95,-71.34,69.8,64,0,12.75,CL,1609365954
93,brainerd,46.36,-94.2,21.2,67,90,10.29,US,1609366090
94,castro,-24.79,-50.01,68.88,90,59,6.29,BR,1609366090
95,fare,-16.7,-151.02,81.97,77,60,16.08,PF,1609366090
96,saint george,37.1,-113.58,48.0,26,1,3.36,US,1609365917
97,saldanha,-33.01,17.94,62.6,77,0,4.7,ZA,1609366091
98,abu dhabi,24.47,54.37,68.0,77,0,1.12,AE,1609366076
99,sioux lookout,50.1,-91.92,14.0,85,90,6.93,CA,1609366001
100,carballo,43.21,-8.69,46.99,94,60,1.99,ES,1609366091
101,rio gallegos,-51.62,-69.22,60.8,38,40,16.11,AR,1609366092
102,salinas,36.68,-121.66,57.99,41,1,4.14,US,1609366060
103,taoudenni,22.68,-3.98,73.33,24,0,7.29,ML,1609366093
104,hargeysa,9.56,44.06,58.33,86,63,12.17,SO,1609366094
105,ilebo,-4.32,20.58,71.19,91,100,0.98,CD,1609366094
106,kaya,13.09,-1.08,72.88,18,0,8.52,BF,1609366094
107,saint anthony,45.02,-93.22,24.8,67,75,16.11,US,1609366095
108,ust-ishim,57.69,71.17,-20.42,87,33,6.13,RU,1609366095
109,cidreira,-30.18,-50.21,79.65,74,24,11.07,BR,1609366095
110,ilulissat,69.22,-51.1,30.2,54,93,13.87,GL,1609366095
111,ler,8.3,30.14,77.76,30,0,4.47,SS,1609366096
112,quatre cocos,-20.21,57.76,77.0,88,75,17.22,MU,1609366096
113,kutum,14.2,24.67,60.98,33,1,6.2,SD,1609366097
114,upernavik,72.79,-56.15,22.89,89,100,8.84,GL,1609366097
115,gidole,5.65,37.37,59.02,91,43,2.04,ET,1609366097
116,sandwick,60.0,-1.25,41.0,80,100,11.41,GB,1609366098
117,maniitsoq,65.42,-52.9,28.42,97,100,13.02,GL,1609366098
118,zaysan,47.47,84.87,4.64,92,99,0.96,KZ,1609366099
119,honningsvag,70.98,25.97,28.4,63,0,12.75,NO,1609366099
120,wiarton,44.74,-81.13,35.01,100,90,14.99,CA,1609365926
121,akersberga,59.48,18.3,35.01,100,100,3.36,SE,1609366100
122,faanui,-16.48,-151.75,81.28,78,88,18.12,PF,1609366100
123,fortuna,40.6,-124.16,52.0,81,90,21.92,US,1609366100
124,houston,29.76,-95.36,72.0,78,90,9.17,US,1609366100
125,san luis,-33.3,-66.34,76.12,19,0,15.19,AR,1609365846
126,santo anastacio,-21.84,-51.61,87.8,40,40,3.27,BR,1609366101
127,harnai,30.1,67.94,43.23,47,32,0.78,PK,1609366101
128,noyabrsk,63.2,75.45,-21.05,88,37,7.65,RU,1609366101
129,brae,60.4,-1.35,41.0,80,100,11.41,GB,1609366102
130,cabedelo,-6.98,-34.83,80.6,74,0,11.41,BR,1609366102
131,el castillo,19.53,-96.85,71.28,55,0,4.92,MX,1609366062
132,westport,41.14,-73.36,39.2,64,1,13.87,US,1609365944
